path,label,class_id,split,official_split,group_id,qr_identity,capture_index,extraction_method,source,capture_kind,is_exact_app_crop,licence,width,height,sha256
ml_training/datasets/structural/raw/qrdn/extracted One/train/16.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,16,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,92fca66de856f13a728628ef2fac62082c95882ba42271f0a2452997eb16eeb2
ml_training/datasets/structural/raw/qrdn/extracted One/train/17.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,17,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,6aa6b53f29e131d522277cbbd47ece32d56df1ca9cd948a1cea7d6134b618a14
ml_training/datasets/structural/raw/qrdn/extracted One/train/18.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,18,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,e4290fa49bcf4f7e71879cd7155018c61811ffb7f3fdb20d87b53c4f71f6c02c
ml_training/datasets/structural/raw/qrdn/extracted One/train/19.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,19,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,e52bf5a01f1cc6ec1cf3f909c650bfe2b0128e21c5b1855230c927dc6348f844
ml_training/datasets/structural/raw/qrdn/extracted One/train/20.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,20,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,a912395bddff5170bb7c35a2162b5955dde304c4ab39049efb0409df59190d50
ml_training/datasets/structural/raw/qrdn/extracted One/train/21.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,21,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,e8ab18147a62d58bc5188e199220620b91bd615df4b3969165f234f6bdf82fc1
ml_training/datasets/structural/raw/qrdn/extracted One/train/22.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,22,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,68fee98d9f67fd6234b594c5030059d5fae7540124cc61f8cb841f5a21c8d382
ml_training/datasets/structural/raw/qrdn/extracted One/train/23.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,23,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,526fd902327b044ec83243fc73720c855fbca70a1dca6f2ae52404729da971c5
ml_training/datasets/structural/raw/qrdn/extracted One/train/24.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,24,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,6ca9475929be9a20d00ad0013c9da5141316d3480c9070ff68f005c5eef619e5
ml_training/datasets/structural/raw/qrdn/extracted One/train/25.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,25,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,fb1cad223620fe64471327640b94224dad2d407c2437360aae092483cc594dbe
ml_training/datasets/structural/raw/qrdn/extracted One/train/26.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,26,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,e193edd3319cf4cd8ddb1eaf199a42193f31315a1e430a9999028e9cc16e872b
ml_training/datasets/structural/raw/qrdn/extracted One/train/27.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,27,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,5c2d597641634bc0164f8853a047e145d59f18b4fe6e99fe73f0e9652538e182
ml_training/datasets/structural/raw/qrdn/extracted One/train/28.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,28,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,91ad5e5771200f94c0097adf0d0686d76e533491443523d6f17a736a74edde0e
ml_training/datasets/structural/raw/qrdn/extracted One/train/29.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,29,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,4c8d0b66a75e273964363c9413d8f7c49eadb53e6950d805c2fb94cbb8815a3c
ml_training/datasets/structural/raw/qrdn/extracted One/train/30.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,0,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,32d5ae4f3aae6aee7a9254d998336569a1fe1adf5c91e85584118d1d5577abad
ml_training/datasets/structural/raw/qrdn/extracted One/train/31.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,1,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,2224953a479600c28014fb1e1d6f126cbfa604da37f35d1954db466909fc0e5b
ml_training/datasets/structural/raw/qrdn/extracted One/train/32.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,2,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,20916d213ab87fedf7825b62e85ba575e9a202ea3ef2dde61c1168efe73e5c25
ml_training/datasets/structural/raw/qrdn/extracted One/train/33.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,3,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,0d0266ae25c8337aeb4932de88dc941f717565d5ae3198bcde849cf0e45b200d
ml_training/datasets/structural/raw/qrdn/extracted One/train/34.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,4,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,f832fedf222c148c28f4c6366d1dd4456ea289c104a0b51ecbb2a2cee862f07f
ml_training/datasets/structural/raw/qrdn/extracted One/train/35.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,5,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,7aef01893d22ead7ef00041135638d5ec21aec58cad37e55d159c71eb6d3eeb0
ml_training/datasets/structural/raw/qrdn/extracted One/train/36.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,6,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,29a6cacbdfeda3f4a656920b5c8b65e66ad103994671eb01969884a1f521bd46
ml_training/datasets/structural/raw/qrdn/extracted One/train/37.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,7,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,970b283071869054ae4f846611d03ec02facc3fc488258065e5b930128c03bff
ml_training/datasets/structural/raw/qrdn/extracted One/train/38.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,8,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,b44b12e6d452fbbdca6eba93add85408b57fd83531285ec1969e8c946a63aae8
ml_training/datasets/structural/raw/qrdn/extracted One/train/39.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,9,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,4578a043538480903e141d9ef59b8e958ac807b45208af0c896a901dc219e320
ml_training/datasets/structural/raw/qrdn/extracted One/train/40.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,10,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,ad4db32ebe428410a462d02bf2cb5f01a8a7412982451c0390a169793b8c0f27
ml_training/datasets/structural/raw/qrdn/extracted One/train/41.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,11,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,56928e3e0dd8e0108d6e487b013e306b379533af171d994457d582636282b3e5
ml_training/datasets/structural/raw/qrdn/extracted One/train/42.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,12,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,d0a53831a767732515d295f603a2051c188079e2b506e233df195afc0f656a93
ml_training/datasets/structural/raw/qrdn/extracted One/train/43.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,13,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,dcefef19d872e3141d6b00bb0b97b44634abf9e3655dd5c01d6db094de2240ea
ml_training/datasets/structural/raw/qrdn/extracted One/train/44.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,14,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,cca143cf3e3864b6322b68eaee4507b8fdd9db541f00d50892ccbf10588a66de
ml_training/datasets/structural/raw/qrdn/extracted One/train/45.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,15,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,1a4a0905ae3ffdbeb6e5255adf8469946c7f8d2106ea9e9d78b1797c36dff030
ml_training/datasets/structural/raw/qrdn/extracted One/train/46.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,16,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,3c96028027dd3435a6e082a3e11bf6867def5c56e03871a827ea1f83d0592597
ml_training/datasets/structural/raw/qrdn/extracted One/train/47.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,17,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,eb05b21912d66aad9fe689446f87c455bb31d57a881aae9f4495b285190d0b84
ml_training/datasets/structural/raw/qrdn/extracted One/train/48.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,18,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,1559ea91cbcfd84ceb6241b8b38a9c64e9de769376ff81261a3eac5463546a71
ml_training/datasets/structural/raw/qrdn/extracted One/train/49.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,19,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,0a08fb29f938bb69a76b4dada0f95197f6db5f3c55e1233d6629188414702f64
ml_training/datasets/structural/raw/qrdn/extracted One/train/50.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,20,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,8834ad2a2c60b0772a0c11e8531e7d948d89b40ec8f7170c4d1620711559bc2d
ml_training/datasets/structural/raw/qrdn/extracted One/train/51.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,21,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,10f0c2cd69a6e18950b3e017bb1588876c7c8814314cb9371bea65eec7e0dbed
ml_training/datasets/structural/raw/qrdn/extracted One/train/52.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,22,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,65b8147350545df4417c91c8ecc61fd9d1d78439ba54020b2d874338c1147779
ml_training/datasets/structural/raw/qrdn/extracted One/train/53.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,23,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,ce6bfa4616f2f32a846855c4f46626902ccb57425ce7f8a0fa7e70696f4c9fb3
ml_training/datasets/structural/raw/qrdn/extracted One/train/54.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,24,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,9be0e3609cdb3c20dfc444d937aef64b66e388ac8bb12f4c0b4a0fde75668e24
ml_training/datasets/structural/raw/qrdn/extracted One/train/55.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,25,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,dcd8e1f1cc5b48ab56ad6cd9bcf0dc7f5ad7af72d855c4cafbd13382cce22b57
ml_training/datasets/structural/raw/qrdn/extracted One/train/56.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,26,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,ccbb077f8cbba40e71bfc1cac030eabdf3cf530e82466cc30e32f57eb8ddc5f3
ml_training/datasets/structural/raw/qrdn/extracted One/train/57.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,27,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,03e83e2addc457c7ba410118979eb7274482a3eef8c7bcde90e18394a4c61a6b
ml_training/datasets/structural/raw/qrdn/extracted One/train/58.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,28,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,dbb9fb42857e3e447a9867aaa1d76b0386c972ee97624a6ed23a56c0ff370d78
ml_training/datasets/structural/raw/qrdn/extracted One/train/59.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:01,1,29,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,327ffff704c2dbf1569b47a70a68634d8848cce0d437235f2634513118290fc0
ml_training/datasets/structural/raw/qrdn/extracted One/train/60.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,0,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,6500c9c39ec9772c5660afbe5871522deba418b15f161d23cdd3183fa7ece476
ml_training/datasets/structural/raw/qrdn/extracted One/train/61.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,1,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,bc5bc724960dc5a47e7489b81977d5df611239624f64cc2cc37ad2925727bc13
ml_training/datasets/structural/raw/qrdn/extracted One/train/62.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,2,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,c933106b3eeec5ae049c4cf4f336f3f52513b1f3d458346ff8e445729158b7fb
ml_training/datasets/structural/raw/qrdn/extracted One/train/63.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,3,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,8de51d63e994ee3ad80edc3230683758624e4f18e406b0d1d0110af7a5a5a8c5
ml_training/datasets/structural/raw/qrdn/extracted One/train/64.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,4,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,71616a22020aec74ee68a6aada688aa3b7dcf946735fea3f6b596f80a65db396
ml_training/datasets/structural/raw/qrdn/extracted One/train/65.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,5,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,ac17d211ecbaffd3113f298aea8f731315a73fd7f2305cb797b02b388462a267
ml_training/datasets/structural/raw/qrdn/extracted One/train/66.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,6,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,89c39ff7ec4fd0d873ad09d8775a0847d1f158fd1e7a6414c785f0eb5aac6d29
ml_training/datasets/structural/raw/qrdn/extracted One/train/67.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,7,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,10d551b35c56e36f34af8c77e2dbd06a818bf594a21df9665192e063003b41d3
ml_training/datasets/structural/raw/qrdn/extracted One/train/68.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,8,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,aa3fb761a54ad9560314ae4ed2ff389035b26a4080f8b085861cac949272dbeb
ml_training/datasets/structural/raw/qrdn/extracted One/train/69.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,9,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,1a5153d5d2a3ad8a007024f8e6a595b7c22a73c237cfd8e2f5d0bbcd75b52c40
ml_training/datasets/structural/raw/qrdn/extracted One/train/70.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,10,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,cbfb515590b3c9fb6e7738dfc0f9e10d9097dfbf4d4b16e36577bfa1fc8192ee
ml_training/datasets/structural/raw/qrdn/extracted One/train/71.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,11,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,6f47df8f97d344e3f6374a5e1b181331b0e7a626e33f65019fe854adbd32691a
ml_training/datasets/structural/raw/qrdn/extracted One/train/72.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,12,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,fc56461c210b57e0f7ce9de2736ad1096751f907bfb3c68e4c13d900775ae58a
ml_training/datasets/structural/raw/qrdn/extracted One/train/73.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,13,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,ff2dc9f483cbda01780aed606d55d7e677a6d8ec7fc17469703aa7c4de790453
ml_training/datasets/structural/raw/qrdn/extracted One/train/74.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,14,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,56e84eea729d52555aa346784f63d9bd0dbdff20ed6c2fcace379f7f2946f191
ml_training/datasets/structural/raw/qrdn/extracted One/train/75.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,15,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,bdf28594a18d52c40af119a586520e69d48bb1eff2b6fa9e405d2b37b21e28b2
ml_training/datasets/structural/raw/qrdn/extracted One/train/76.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,16,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,fa157d51cf18e03b9885dcbc1d64f6fae377225808c76958713cf72ad97518a0
ml_training/datasets/structural/raw/qrdn/extracted One/train/77.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,17,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,edd7ef65c112997c11728befcc394bae711a4f34043ffb2606dbcbfedeb9df03
ml_training/datasets/structural/raw/qrdn/extracted One/train/78.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,18,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,3dddca4dffffd21f8084ad43f7d53616d0669b5049389de7dcc1af10386cf1d4
ml_training/datasets/structural/raw/qrdn/extracted One/train/79.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,19,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,85155baa21f922b15efed6ff3dbd1447abe89af3ff2fc9df21d3634091c38c5b
ml_training/datasets/structural/raw/qrdn/extracted One/train/80.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,20,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,875a43c5aa03e0ad6e4c7430824c397545935fbc3bc04b1cd1ed283af0eda89d
ml_training/datasets/structural/raw/qrdn/extracted One/train/81.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,21,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,4a8a48c1600d81bdc1fa58b04c2559fe9a07751c05afac5998534a67d73dfc58
ml_training/datasets/structural/raw/qrdn/extracted One/train/82.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,22,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,8901ff9ece19fafc8415af3281eaa3fda9e051f9417ce8476de49f334f13e19c
ml_training/datasets/structural/raw/qrdn/extracted One/train/83.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,23,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,48314220d2f61f7e97e6f88956b968f955676e2218cf5b9416ab7cb788539073
ml_training/datasets/structural/raw/qrdn/extracted One/train/84.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,24,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,d41fc1dba229be3463944973195c97cb7e060447e70decf05a7da4734eedf607
ml_training/datasets/structural/raw/qrdn/extracted One/train/85.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,25,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,318bd14dc0480d5277f07383519e58aab991d59c4ab5a1b7259552be19181f86
ml_training/datasets/structural/raw/qrdn/extracted One/train/86.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,26,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,c59be329e042b05eafd222b66c84dc8a7c659a4b47cc7f6dd225dec4730e2b6e
ml_training/datasets/structural/raw/qrdn/extracted One/train/87.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,27,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,ce51bfd4f3aa59eec2144022bcc1bfa136e23544bd185410c7d64431f1d3e4ea
ml_training/datasets/structural/raw/qrdn/extracted One/train/88.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,28,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,62fc7421bd37ce405787116170e3a40da98586fda252d2284b4efb900004991b
ml_training/datasets/structural/raw/qrdn/extracted One/train/89.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:02,2,29,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,421a7e15751203659de7b5323be3a5136e6825dd1f4ace2754f821ed845055d5
ml_training/datasets/structural/raw/qrdn/extracted One/train/90.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:03,3,0,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,c1fc199c8d1802ab03f8ef645190d45640375049fc55d553e6c047dbf44ef2f1
ml_training/datasets/structural/raw/qrdn/extracted One/train/91.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:03,3,1,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,2639e2bdf9b42a05cd6e1f4df43f4494fe318a62351d4e0f0c2d9d7fd628152c
